Match_Id,Day,Team_Id,Toss_Won,Bat_First,Win_Percenetage,Opponent_Win_Percentage,Win_Percenetage_Against,Toss_Decision_Win_Percentage,Bat_Decision_Win_Percentage,Team1_Score,Team2_Score,Match_Won
392223,1,7,1,1,57.14285714,50.35971223,57.89473684,55.40540541,56.57894737,412.9666221,158.900861,1
392224,0,6,1,0,42.10526316,51.51515152,41.17647059,43.75,68.42105263,361.3447007,88.91054087,0
392224,0,1,0,1,51.51515152,42.10526316,58.82352941,44.92753623,43.5483871,88.91054087,361.3447007,1
392225,1,8,1,1,38.66666667,53.38983051,22.22222222,44.18604651,41.86046512,402.0304774,199.4933557,0
392225,1,5,0,0,53.38983051,38.66666667,77.77777778,46.03174603,53.7037037,199.4933557,402.0304774,1
392226,1,2,1,0,50.35971223,51.51515152,50,54.09836066,56.4516129,426.7713808,358.2223992,0
392226,1,1,0,1,51.51515152,50.35971223,50,44.92753623,43.5483871,358.2223992,426.7713808,1
392227,0,4,1,1,47.01492537,57.14285714,50,40.625,40.57971014,112.1300289,249.4879911,0
392227,0,7,0,0,57.14285714,47.01492537,50,44.59459459,43.42105263,249.4879911,112.1300289,1
392228,1,8,1,0,38.66666667,42.10526316,36.36363636,44.18604651,58.13953488,445.8535566,525.0409793,0
392228,1,6,0,1,42.10526316,38.66666667,63.63636364,56.25,31.57894737,525.0409793,445.8535566,1
