Match_Id,Team_Id,Opponent_Id,Score
729322,7,11,707.7811992
733976,1,3,660.2462811
733978,4,7,710.3503567
733980,5,6,615.5560096
733982,2,11,764.9720563
733984,1,5,662.2271704
733986,3,6,668.5332761
733988,2,7,696.3826037
733990,1,6,612.9938497
733992,3,4,908.90599
733994,5,11,741.1089476
733996,2,4,943.5240859
733998,6,11,514.9278769
734000,3,7,707.1451484
734002,1,4,602.8017144
734004,2,5,759.8759269
734006,7,11,671.0696382
734008,3,5,591.5584161
734010,2,6,775.3111405
734012,4,11,967.5920412
734014,1,7,545.1349187
734016,5,6,654.5285407
734018,2,3,495.8828284
734020,1,11,679.2041103
734022,5,7,729.8597631
734024,4,6,632.7145652
734026,2,11,716.5547742
734028,1,3,498.6893725
734030,4,7,684.6082232
734032,1,2,634.8688563
734034,3,11,818.8194918
734036,6,7,850.6123567
734038,4,5,642.1868968
734040,2,3,606.2627528
734042,1,11,858.7600672
734044,4,6,601.2009362
734046,5,7,988.7951653
734048,1,4,696.3472128
734050,3,7,778.1084897
734052,3,4,1140.090824
734054,1,4,1021.614536
829710,1,7,684.5011086
829712,3,6,743.4001049
829714,4,5,563.9631436
829716,3,11,802.4845333
829718,1,2,758.4777392
829720,5,6,762.5456057
829722,4,7,631.7704628
829724,2,11,654.8706173
829726,5,7,682.74854
829728,1,3,583.4212277
829730,4,6,701.094307
829732,5,11,440.9775521
829734,3,7,844.2532247
829736,6,11,623.468669
829738,1,4,726.958962
829740,3,5,509.1228314
829742,2,7,835.1610254
829744,1,6,648.3290717
829746,4,5,1022.201978
829748,1,11,597.7249427
829750,2,3,921.0542778
829752,6,7,816.7750838
829754,2,5,547.6155147
829756,7,11,783.4254655
829758,3,4,629.4870824
829762,2,6,470.2178736
829764,4,11,700.9036225
829766,1,6,750.7394205
829768,2,5,414.0883387
829770,1,3,647.44361
829772,4,6,538.9095354
829774,5,7,837.2650663
829776,1,2,469.1262481
829778,3,11,662.0692966
829780,4,7,762.6818538
829782,5,6,717.6741072
829784,2,3,829.0550631
829786,1,11,629.9114072
829788,6,7,621.1513562
829790,2,4,823.6490279
829792,5,11,789.3306471
829794,3,7,575.604441
829796,1,4,723.2479232
829798,6,11,588.5900183
829800,2,7,1040.07661
829802,3,5,751.4185268
829804,4,11,828.976937
829806,3,6,546.0692951
829808,2,4,567.4429404
829810,1,7,563.2971852
829812,2,11,533.4615538
829814,3,4,513.6550252
829816,1,5,880.1394622
829818,2,6,464.7351703
829820,7,11,485.3123928
829822,3,7,736.0477891
829824,2,5,750.8403099
829826,2,3,635.2726464
829828,3,7,820.6446702
